,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.0,46.0,37.0,54.0,0.0,219.0,0.0,9.0,31.0,13.0,20.0,336.0,28.0,61.0,30.0,103.0,50.0,257.0,53.0,85.0,33.0,489.0,3.0,25.0,35.0,35.0,55.0,8.0,45.0,8.0,0.0,50.0,15.0,100.0,0.0,53.0,22.0,42.0,0.0,45.0,0.0,41.0,850.0,0.0,44.0,0.0,0.0,102.0,0.0,71.0
1,0.0,37.0,37.0,0.0,0.0,15.0,34.0,224.0,16.0,20.0,365.0,92.0,133.0,20.0,289.0,20.0,119.0,518.0,70.0,89.0,20.0,38.0,20.0,95.0,20.0,53.0,22.0,25.0,0.0,0.0,15.0,26.0,16.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,15.0,895.0,82.0,20.0,72.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1.0,14.0,0.0,1.0,46.0,5.0,10.0,16.0,6.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,12.0,0.0,14.0,1.0,1.0,14.0,1.0,3.0,13.0,0.0,39.0,14.0,0.0,0.0,2.0,5.0,0.0,30.0,16.0,21.0,35.0,0.0,264.0,26.0,33.0,45.0,21.0,53.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
4,0.0,0.0,1.0,0.0,5.0,6.0,2.0,16.0,13.0,2.0,10.0,3.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,2.0,2.0,3.0,15.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
5,0.0,9.0,18.0,1.0,30.0,20.0,14.0,65.0,7.0,0.0,12.0,11.0,0.0,22.0,0.0,0.0,0.0,1097.0,0.0,0.0,74.0,23.0,27.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,2.0,35.0,52.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,5.0,0.0,1.0,0.0
6,0.0,16.0,16.0,16.0,16.0,21.0,32.0,38.0,32.0,544.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,16.0,16.0,0.0,16.0,21.0,27.0,43.0,32.0,560.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,8.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,15.0,0.0,3.0,11.0,0.0,1.0,1.0,3.0,1.0,6.0,13.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
