,0,1,2,3,4,5,6
0,443.0,58167.0,0,111,0,44373,28986
1,58167.0,443.0,0,189,0,18909,28617
2,443.0,58167.0,0,53,0,45826,6335
3,58167.0,443.0,0,47,0,42957,544
4,58167.0,443.0,0,72,0,26242,1236
5,443.0,58167.0,0,164,0,9508,14525
6,443.0,51024.0,0,19,0,5797,6145
7,51024.0,443.0,0,25,0,6652,6171
8,58167.0,443.0,0,245,0,53779,137
9,443.0,58167.0,0,247,0,57856,1035
10,58167.0,443.0,0,172,0,43497,1505
11,443.0,58167.0,0,52,0,36076,834
12,58167.0,443.0,0,75,0,24746,31195
13,443.0,58167.0,0,79,0,35448,32331
14,58167.0,443.0,0,57,0,11830,29898
15,443.0,58167.0,0,63,0,33484,27488
16,58167.0,443.0,0,69,0,20945,25836
17,443.0,58167.0,0,71,0,31428,29979
18,443.0,58167.0,0,41,0,18085,32558
19,58167.0,443.0,0,39,0,11316,29494
20,58167.0,443.0,0,44,0,18831,22028
21,443.0,58167.0,0,46,0,17057,39385
22,58167.0,443.0,0,28,0,11772,30606
23,443.0,58167.0,0,32,0,12141,40428
24,58167.0,443.0,0,12,0,543,0
25,443.0,58167.0,0,14,0,10085,15334
26,51024.0,443.0,0,2,0,543,0
27,443.0,51024.0,0,2,0,543,0
28,58167.0,443.0,0,27,0,2143,19745
29,443.0,58167.0,0,29,0,17091,34002
30,443.0,51024.0,0,9,0,4800,787
31,51024.0,443.0,0,13,0,3801,952
32,58167.0,443.0,0,18,0,2114,10022
33,443.0,58167.0,0,20,0,10370,30929
34,443.0,40414.0,0,105,0,6243,3743
35,40414.0,443.0,0,110,0,6833,4380
36,443.0,51024.0,0,49,0,19836,15779
37,51024.0,443.0,0,182,0,14988,16623
38,58167.0,443.0,0,25,0,1629,25658
39,443.0,58167.0,0,25,0,11946,31975
40,443.0,40414.0,0,3,0,1057,0
41,40414.0,443.0,0,3,0,1086,127
42,443.0,51024.0,0,36,0,14885,28525
43,51024.0,443.0,0,41,0,20597,28486
44,58167.0,443.0,0,14,0,1600,10426
45,443.0,58167.0,0,10,0,4344,13989
46,51024.0,443.0,0,41,0,30392,12156
47,443.0,40414.0,0,17,0,6943,30257
48,40414.0,443.0,0,19,0,5973,18802
49,443.0,51024.0,0,38,0,14313,28117
50,51024.0,443.0,0,4,0,1086,1295
51,58167.0,443.0,0,1,0,1057,0
52,40414.0,443.0,0,124,0,41637,21169
53,443.0,40414.0,0,106,0,42802,21842
54,51024.0,443.0,0,50,0,25252,30711
55,443.0,51024.0,0,49,0,19656,27152
56,58167.0,443.0,0,2,0,1600,10469
57,40414.0,443.0,0,3,0,543,0
58,443.0,51024.0,0,4,0,1057,0
59,51024.0,443.0,0,3,0,1086,128
60,443.0,40414.0,0,8,0,3743,34797
61,443.0,51024.0,0,3,0,1571,0
62,51024.0,443.0,0,2,0,543,0
63,58167.0,443.0,0,4,0,2686,33136
64,40414.0,443.0,0,8,0,2715,16488
65,443.0,40414.0,0,5,0,543,0
66,40414.0,443.0,0,3,0,1086,577
67,443.0,51024.0,0,27,0,10085,44343
68,51024.0,443.0,0,23,0,7515,28745
69,58167.0,443.0,0,3,0,1629,19022
70,443.0,40414.0,0,5,0,1600,2000
71,40414.0,443.0,0,5,0,1629,2131
72,51024.0,443.0,0,15,0,5886,34760
73,443.0,51024.0,0,15,0,5343,20999
74,58167.0,443.0,0,4,0,2686,26029
75,443.0,51024.0,0,4,0,1571,0
76,51024.0,443.0,0,2,0,543,0
77,443.0,40414.0,0,187,0,16204,20291
78,40414.0,443.0,0,141,0,19772,19423
79,58167.0,443.0,0,5,0,2657,16150
80,443.0,58167.0,0,5,0,543,0
81,443.0,51024.0,0,3,0,1571,0
82,51024.0,443.0,0,2,0,543,0
83,40414.0,443.0,0,89,0,30298,790
84,443.0,40414.0,0,102,0,37807,4294968127
85,58167.0,443.0,0,4,0,3200,27532
86,443.0,51024.0,0,20,0,8485,32675
87,51024.0,443.0,0,18,0,5915,30046
88,443.0,40414.0,0,26,0,4887,29084
89,40414.0,443.0,0,26,0,9774,28040
90,51024.0,443.0,0,1,0,543,0
91,58167.0,443.0,0,5,0,4771,38178
92,40414.0,443.0,0,19,0,8145,12377
93,443.0,40414.0,0,19,0,3229,3001
94,51024.0,443.0,0,2,0,543,0
95,443.0,51024.0,0,6,0,3142,20381
96,51024.0,443.0,0,2,0,543,0
97,443.0,51024.0,0,5,0,2114,1000
98,51024.0,443.0,0,4,0,1086,852
99,58167.0,443.0,0,4,0,2172,27992
100,443.0,40414.0,0,54,0,31312,24001
101,40414.0,443.0,0,47,0,7059,19369
102,51024.0,443.0,0,2,0,543,0
103,443.0,51024.0,0,10,0,5770,40818
104,58167.0,443.0,0,1,0,543,0
105,51024.0,443.0,0,4,0,1086,9308
106,51024.0,443.0,0,2,0,543,0
107,40414.0,443.0,0,47,0,13032,29759
108,443.0,40414.0,0,46,0,18715,29395
109,443.0,51024.0,0,13,0,6313,39994
110,51024.0,443.0,0,9,0,3200,27882
111,40414.0,443.0,0,1,0,543,0
112,443.0,40414.0,0,15,0,5285,17062
113,51024.0,443.0,0,6,0,1629,21309
114,443.0,51024.0,0,7,0,3142,20373
115,40414.0,443.0,0,69,0,31146,20908
116,443.0,40414.0,0,48,0,25795,3904
117,443.0,51024.0,0,9,0,3685,20403
118,51024.0,443.0,0,7,0,2172,20495
119,443.0,58167.0,0,1,0,543,0
120,40414.0,443.0,0,14,0,5430,30625
121,443.0,40414.0,0,14,0,4660,21153
122,443.0,51024.0,0,5,0,2628,7617
123,51024.0,443.0,0,4,0,1086,7451
124,443.0,40414.0,0,42,0,42917,1839
125,40414.0,443.0,0,126,0,15574,1660
126,443.0,51024.0,0,3,0,1571,0
127,51024.0,443.0,0,2,0,543,0
128,443.0,40414.0,0,48,0,23428,32545
129,40414.0,443.0,0,49,0,16717,31791
130,443.0,51024.0,0,9,0,3685,25435
131,51024.0,443.0,0,7,0,2172,25262
132,40414.0,443.0,0,42,0,15204,26141
133,443.0,40414.0,0,39,0,11801,24995
134,51024.0,443.0,0,2,0,543,0
