,0,1,2,3,4,5,6
0,54130.0,443.0,0,17,0,20806,94
1,443.0,54130.0,0,51,0,2134,1326
2,443.0,58567.0,0,38,0,40556,24177
3,58567.0,443.0,0,28,0,1629,19709
4,443.0,54130.0,0,147,0,28659,1788
5,54130.0,443.0,0,203,0,41775,275
6,54130.0,443.0,0,226,0,39676,174
7,443.0,54130.0,0,18,0,47200,1679
8,54130.0,443.0,0,227,0,9532,195
9,443.0,54130.0,0,79,0,19478,1694
10,54130.0,443.0,0,139,0,6763,232
11,443.0,54130.0,0,29,0,51340,1665
12,54130.0,443.0,0,240,0,22816,237
13,443.0,54130.0,0,118,0,49732,1608
14,443.0,54130.0,0,141,0,54171,1954
15,54130.0,443.0,0,189,0,47476,278
16,54130.0,443.0,0,188,0,33123,157
17,443.0,54130.0,0,245,0,13286,1653
18,54130.0,443.0,0,182,0,33253,192
19,443.0,54130.0,0,182,0,51688,1889
20,54130.0,443.0,0,2,0,59063,296
21,443.0,54130.0,0,218,0,48870,1828
22,54130.0,443.0,0,112,0,41464,307
23,443.0,54130.0,0,214,0,33555,2166
24,54130.0,443.0,0,205,0,53733,297
25,443.0,54130.0,0,89,0,53119,2150
26,54130.0,443.0,0,156,0,53507,364
27,443.0,54130.0,0,22,0,29259,1869
28,54130.0,443.0,0,31,0,65071,147
29,443.0,54130.0,0,197,0,33263,1886
30,443.0,54130.0,0,69,0,27796,1941
31,54130.0,443.0,0,41,0,37697,207
32,443.0,54130.0,0,60,0,36212,2194
33,54130.0,443.0,0,246,0,18796,216
34,443.0,54130.0,0,149,0,38785,2116
35,54130.0,443.0,0,121,0,21834,215
36,54130.0,443.0,0,170,0,32974,208
37,443.0,54130.0,0,190,0,31518,1881
38,54130.0,443.0,0,154,0,5609,195
39,443.0,54130.0,0,126,0,31779,1795
40,443.0,54130.0,0,225,0,40915,1915
41,54130.0,443.0,0,1,0,27518,181
42,54130.0,443.0,0,115,0,41696,267
43,443.0,54130.0,0,147,0,34446,2157
44,443.0,54130.0,0,195,0,36734,2270
45,54130.0,443.0,0,147,0,52962,281
46,54130.0,443.0,0,205,0,41242,174
47,443.0,54130.0,0,237,0,36281,2019
48,443.0,54130.0,0,30,0,48343,1890
49,54130.0,443.0,0,218,0,34437,238
50,54130.0,443.0,0,35,0,61203,334
